scenario,m2,m1,image type,image dimensions,outcome
workers_sless,9522.366299999703,-,-,-,failure
workers_sless,9514.536700000463,-,-,-,failure
workers_sless,5793.903100002353,5,jpeg,2400x3598,success
workers_sless,11204.82610000181,-,-,-,failure
workers_sless,4372.432899999694,8,jpeg,2400x3598,success
workers_sless,6416.727299998456,7,jpeg,2400x3598,success
workers_sless,9692.626099997142,-,-,-,failure
workers_sless,10471.930199997587,-,-,-,failure
workers_sless,10288.424399997893,-,-,-,failure
workers_sless,14562.916300001234,-,-,-,failure
workers_sless,11863.760700001876,-,-,-,failure
workers_sless,8884.19040000008,-,-,-,failure
workers_sless,11422.484700000496,-,-,-,failure
workers_sless,10968.697100001009,-,-,-,failure
workers_sless,11332.258099999308,-,-,-,failure
workers_sless,11312.743200000114,-,-,-,failure
workers_sless,12135.566500001005,-,-,-,failure
workers_sless,6907.394199999544,6,jpeg,2400x3598,success
workers_sless,11319.371199999296,-,-,-,failure
workers_sless,11401.463300000614,-,-,-,failure
next_sless,8819.52000000092,3590.857548000058,jpeg,2400x3598,success
next_sless,8672.65320000297,3443.5244660000317,jpeg,2400x3598,success
next_sless,8598.56839999702,3401.15206699993,jpeg,2400x3598,success
next_sless,8929.839399999764,3544.5776030000998,jpeg,2400x3598,success
next_sless,7637.899000001198,3021.0096680000424,jpeg,2400x3598,success
next_sless,7773.700200003077,3194.758930000011,jpeg,2400x3598,success
next_sless,7903.034599999955,3138.758564000018,jpeg,2400x3598,success
next_sless,7769.691299999977,3193.5787169999676,jpeg,2400x3598,success
next_sless,7802.597400001105,2929.8897030000808,jpeg,2400x3598,success
next_sless,7716.677899999922,2886.8974600000074,jpeg,2400x3598,success
next_sless,7670.548399997642,2844.6366350000026,jpeg,2400x3598,success
next_sless,7978.532000000996,2966.6673230000306,jpeg,2400x3598,success
next_sless,7598.781900000176,2895.108510000049,jpeg,2400x3598,success
next_sless,7589.378299999225,2799.380373000051,jpeg,2400x3598,success
next_sless,7544.242100000702,2867.6387340000365,jpeg,2400x3598,success
next_sless,7358.106899999257,2725.0585930000525,jpeg,2400x3598,success
next_sless,7451.3576999997895,2811.9459259998985,jpeg,2400x3598,success
next_sless,7804.057099998317,2912.7727199998917,jpeg,2400x3598,success
next_sless,7348.825100001704,2925.902131000068,jpeg,2400x3598,success
next_sless,7495.829799998319,2873.150835999986,jpeg,2400x3598,success
next_sless,7797.179900000629,2897.832867000019,jpeg,2400x3598,success
next_sless,7562.501600001269,2852.673890999984,jpeg,2400x3598,success
next_sless,7611.137799998687,2878.6562609999673,jpeg,2400x3598,success
next_sless,7631.23590000032,2820.81126899994,jpeg,2400x3598,success
next_sless,7578.553200000897,2869.535603999975,jpeg,2400x3598,success
next_sless,7199.754100001883,2842.5262149999617,jpeg,2400x3598,success
next_sless,7450.342399999499,2802.012480999925,jpeg,2400x3598,success
next_sless,7039.846200001193,2923.613539000042,jpeg,2400x3598,success
netlify,6418.52579999977,-,-,-,failure
netlify,6647.579999997106,-,-,-,failure
netlify,6402.010300000256,-,-,-,failure
netlify,6409.7565000010945,-,-,-,failure
netlify,16393.959999997605,3670.987044000067,jpeg,2400x3598,success
netlify,18810.37379999907,3170.321379000321,jpeg,2400x3598,success
netlify,21529.905600000347,3626.8072929999325,jpeg,2400x3598,success
netlify,21037.93399999995,3684.004081999883,jpeg,2400x3598,success
netlify,7239.9344999976165,-,-,-,failure
netlify,7163.374899999326,-,-,-,failure
netlify,7144.496400000207,-,-,-,failure
netlify,7065.815799996926,-,-,-,failure
netlify,16203.7711999983,3115.347823999822,jpeg,2400x3598,success
netlify,19895.59409999856,3258.326985999942,jpeg,2400x3598,success
netlify,20134.1104000021,2852.9446499999613,jpeg,2400x3598,success
netlify,18910.91790000064,2899.1401269999333,jpeg,2400x3598,success
express,8619.951300002867,1981.0231647491455,jpeg,2400x3598,success
express,6607.891999999993,1878.357792854309,jpeg,2400x3598,success
express,4624.9362000016845,2031.94016456604,jpeg,2400x3598,success
express,10645.95289999852,2006.3223118782043,jpeg,2400x3598,success
express,11116.654699999344,2232.4774765968323,jpeg,2400x3598,success
express,6748.379299999215,1954.6892399787903,jpeg,2400x3598,success
express,8795.53720000331,2015.7385740280151,jpeg,2400x3598,success
express,4732.697300001746,1996.7258930206299,jpeg,2400x3598,success
express,5807.646400000522,2624.8855810165405,jpeg,2400x3598,success
express,12100.52910000013,1923.744460105896,jpeg,2400x3598,success
express,10151.41980000044,2026.4527349472046,jpeg,2400x3598,success
express,8083.009199999651,2243.4715051651,jpeg,2400x3598,success
express,7977.589300000545,1932.6950449943542,jpeg,2400x3598,success
express,3866.715200001636,1896.451132774353,jpeg,2400x3598,success
express,5968.19129999858,2010.4256191253662,jpeg,2400x3598,success
express,10034.415900001477,2036.1523218154907,jpeg,2400x3598,success
express,4253.952999999456,1835.3370113372803,jpeg,2400x3598,success
express,10125.466599998617,1951.2047581672668,jpeg,2400x3598,success
express,8135.1380000014615,1882.114026069641,jpeg,2400x3598,success
express,6159.4320999975025,1856.0283570289612,jpeg,2400x3598,success
